DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
USA,AXM,8403,11124941,440089316
PAN,AXM,996,812031,3212297191
DEU,BOG,294,18375,724531762
DEU,BOG,195,67925,267830312
DEU,BOG,360,1918,756273154
DEU,BOG,60,2775,109419082
DEU,BOG,26,13098,52372483
DEU,BOG,299,151117,604242835
DEU,BOG,12,969,38745561
DEU,BOG,3,2142,8564808
DEU,BOG,25453,1398034,5590052929
DEU,BOG,8320,2181544,8579118118
DEU,BOG,2540,149474,586800544
DEU,BOG,40,201,789079
DEU,BOG,36,15,5888655
DEU,BOG,31,1500,5998815
DEU,BOG,3700,592,232405584
DEU,BOG,32840,55692,2186688769
DEU,BOG,69,11027404,4365602528
DEU,BOG,1400,252,99101268
DEU,BOG,25600,44112,17347441
DEU,BOG,500,1500,5974725
DEU,BOG,3063,2502,99658413
DEU,BOG,10600,1908,762915708
DEU,BOG,81040,14528,5778279692
DEU,BOG,50136,1386557,5514853549
DEU,BOG,2310,37185,149603063
DEU,BOG,11830,20959,843224583
DEU,BOG,1435,560,2234148
DEU,BOG,13742,60635,2419063642
DEU,BOG,405,605534,2411932752
DEU,BOG,560,19389,772166925
DEU,BOG,5,2250011,8962131314
DEU,BOG,11860,76164,3007366005
DEU,BOG,216,11475,4540382099
DEU,BOG,277,1021444,404160876
DEU,BOG,771,1411637,5585508815
DEU,BOG,47,263971,1044469893
DEU,BOG,110,342531,1355312959
DEU,BOG,1474,3332816,1332936429
DEU,BOG,440,68377,273406118
DEU,BOG,1780,120555,482040373
DEU,BOG,288,21425,85687787
DEU,BOG,54155,1984131,7860549065
DEU,BOG,7,383,149960969
DEU,BOG,1,50,1957715
DEU,BOG,12420,22356,884573265
DEU,BOG,525,5565,221626125
DEU,BOG,17164,148647,598038096
DEU,BOG,5600,1064,41192228
DEU,BOG,8400,1592,61633484
DEU,BOG,5680,9656,386096125
DEU,BOG,17160,3256,1301914855
DEU,BOG,75940,13993,549358358
DEU,BOG,13410,24264,95740071
DEU,BOG,99968,1820352,7307999233
DEU,BOG,17163,1841502,7284760931
DEU,BOG,19280,266836,1053612619
DEU,BOG,51040,752772,2961625592
DEU,BOG,3660,6588,263421838
DEU,BOG,20020,5137,2054034586
DEU,BOG,1800,917,362834892
DEU,BOG,8413,135475,5480261795
DEU,BOG,7100,276654,1086079973
DEU,BOG,1,97181,3870865
DEU,BOG,2160,94896,3626972568
DEU,BOG,6,225,8871817
DEU,BOG,3,2,776508
DEU,BOG,36,149,58751147
DEU,BOG,9400,4215856,163199624
DEU,BOG,3200,800,3192704
DEU,BOG,21,11165,44919139
DEU,BOG,108,4702,188729204
DEU,BOG,375,1095,43783684
DEU,BOG,50,4375,176015437
DEU,BOG,35,1806,72659172
DEU,BOG,3236,20707,83308609
DEU,BOG,50,172,68774372
DEU,BOG,3875,2683,1076690483
DEU,BOG,3852,22312,892397515
DEU,BOG,375,1185,47382343
DEU,BOG,288,243,97163793
DEU,BOG,374,16485457,6483054334
DEU,BOG,98,116318,4652615313
DEU,BOG,82,436338,1745312729
DEU,BOG,1,84865,3337392503
DEU,BOG,465,251007,9871076181
DEU,BOG,2,5,1922405
DEU,BOG,2,19706,78817206
DEU,BOG,12,1126269,4504348953
DEU,BOG,8460,13536,535467916
DEU,BOG,87120,164988,6551612294
DEU,BOG,2,91000,353010550
DEU,BOG,4080,55488,219552698
DEU,BOG,6800,9248,365921164
DEU,BOG,15300,3825,15265116
DEU,BOG,24140,6035,240849608
DEU,BOG,4200,672,265835136
DEU,BOG,48160,77056,3048242892
DEU,BOG,17700,43855,1750456046
DEU,BOG,2400,70733,273839272
DEU,BOG,985,6163,2419452051
DEU,BOG,150,6789,26283274
DEU,BOG,22900,329395,1292920333
DEU,BOG,28983,264887802,10476910283
DEU,BOG,3067,25974,1034583381
DEU,BOG,1970685,1165758,4661295019
DEU,BOG,3216,1029944,4102421443
DEU,BOG,675500,315217,1239619222
ARM,BOG,2000,340,13678914
ARM,BOG,67,1579,63136472
ARM,BOG,1214,36558,1461775285
ARM,BOG,147,3227,129031917
ARM,BOG,400,74,294705
ARM,BOG,3550,607,24287763
ARM,BOG,9440,29264,1167891123
ARM,BOG,800,140,557550
ARM,BOG,4190,7699,309328025
ARM,BOG,35450,593875,2378919718
ARM,BOG,1885,4006,161169792
ARM,BOG,250,25,98919
ARM,BOG,7,20,791352
ARM,BOG,350,63,25190613
ARM,BOG,350,595,23799464
ARM,BOG,6050,9925,396991067
ARM,BOG,4000,220,876293
