ORIGEN,DESTINO,CANTI,FOBDOL,FOBPES
USA,0,95,104645,422470536
PAN,0,12,12125,48952665
DEU,3,480,3000,12111570
DEU,3,90,634,2561597
DEU,3,60,228,920479
DEU,3,270,940,3796977
DEU,3,1204,6903,27612298
DEU,3,64,296,1195008
DEU,3,32,9256,36845082
DEU,3,9,5175,20599967
DEU,3,9,3267,13004849
DEU,3,16,4560,18151855
DEU,3,1380,1094,4347840
DEU,3,28995,15999,65473597
DEU,3,50,4930,20294789
DEU,3,245,54726,225284504
DEU,3,20,6256,25753387
DEU,3,20,3604,14836190
DEU,3,20,4216,17355543
DEU,3,20,3332,13716478
DEU,3,20,3332,13716478
DEU,3,100,7780,32027070
DEU,3,1088,157774,636965634
DEU,3,1,2526,10080297
DEU,3,27,60,247063
DEU,3,9,20,82354
DEU,3,1300,200,811388
DEU,3,38160,6102,24935734
DEU,3,62,99872,405667866
DEU,3,5600,1008,4098316
DEU,3,12480,2246,9133391
DEU,3,13,1484,5883801
DEU,3,2560,461,1870917
DEU,3,50,18500,74688015
DEU,3,44787,13918,56397252
DEU,3,1800,297,1181121
DEU,3,10080,1808,7210408
DEU,3,16,50,199764
DEU,3,38,104,412211
DEU,3,20,50,198178
DEU,3,82,320,1268342
DEU,3,24,88,348794
DEU,3,120,583,2310761
DEU,3,1198,5380,21324403
DEU,3,13,70,277450
DEU,3,8,28,112962
DEU,3,2,287,1183314
DEU,3,1,568,2339582
DEU,3,1,194,799401
DEU,3,986,88155,362897703
DEU,3,9,326,1340156
DEU,3,1,41,168863
DEU,3,2,6331,26063613
DEU,3,6,6874,28296781
DEU,3,1,372,1531010
DEU,3,5,8753,36012709
DEU,3,19660,6549,26330876
DEU,3,3,2238,9052867
DEU,3,2,747,2960708
DEU,3,4,450,1787798
DEU,3,1,1457,5997872
DEU,3,1,374,1540387
DEU,3,38,7457,30514581
DEU,3,1,50,200253
DEU,3,1,50,200253
DEU,3,21600,2943,11881046
DEU,3,58200,8776,35547304
DEU,3,560,4922,20140648
DEU,3,810,3487,13914183
DEU,3,3,10316,41005041
DEU,3,4,13933,56388384
DEU,3,5,18860,76329911
DEU,3,6000,1140,4648282
DEU,3,14400,2736,11155876
DEU,3,0,27,106493
DEU,3,1,83,329257
DEU,3,1,514,2044667
DEU,3,5,21,85186
DEU,3,16,95,379343
DEU,3,8,39,153359
DEU,3,3,23,90274
DEU,3,1,8,31960
DEU,3,2,2,6837
DEU,3,2,51,203167
DEU,3,2,73,289665
DEU,3,2,355,1409726
DEU,3,1,122,485597
DEU,3,1,74,292209
DEU,3,1,334,1329032
DEU,3,20,643,2555824
DEU,3,1,26,102239
DEU,3,29,5556,22086196
DEU,3,0,2,8586
DEU,3,2,9498,39078390
DEU,3,1,1824,7502860
DEU,3,5,14005,57619150
DEU,3,145,725,2941282
DEU,3,2,21968,87323982
DEU,3,101,6315,25102216
DEU,3,16,26255,106187801
DEU,3,24320,4717,19232469
DEU,3,3231,4972,19773047
DEU,3,58360,10577,43436054
DEU,3,1,5471,21652485
DEU,3,10530,1895,7693329
DEU,3,79320,14443,57579527
DEU,3,2050,369,1467454
DEU,3,11100,2781,11058001
DEU,3,2250,1202,4918981
DEU,3,1,924,3657454
DEU,3,510,770,3062564
DEU,3,978,5514,22482189
DEU,3,300,1918,7899003
DEU,3,3,28040,111463153
DEU,3,11,113982,453086761
DEU,3,1,44999,183219947
DEU,3,1,300,1213353
DEU,3,1056,6336,26068141
DEU,3,1836,9949,40708065
DEU,3,200,1200,4937148
DEU,3,1224,6357,26154542
DEU,3,12,47,191233
DEU,3,2139,12960,52717346
DEU,3,597,1622,6579112
DEU,3,16172,96475,392943488
DEU,3,6400,832,3332210
DEU,3,9,48,189657
DEU,3,48,291,1154192
DEU,3,12,40,156561
DEU,3,280,2114,8378987
DEU,3,118,868,3441489
DEU,3,25,129,511301
DEU,3,34,216,857320
DEU,3,262,1873,7423767
DEU,3,145,958,3797695
DEU,3,59,54077,219065628
DEU,3,400,114,460240
DEU,3,10440,1670,6743722
DEU,3,91440,13691,55141540
DEU,3,559,4740,19398995
DEU,3,2720,370,1497107
DEU,3,4420,606,2450687
DEU,3,5780,751,3009402
DEU,3,9520,1238,4956662
DEU,3,4760,1482,5901343
DEU,3,11970,1915,7591029
DEU,3,58440,9350,37060965
DEU,3,8160,2448,9767251
DEU,3,4,4400,17981766
DEU,3,1820,14875,58958104
DEU,3,1280,13,51071
DEU,3,16070,4556,18435491
DEU,3,8050,2459,9790060
DEU,3,3334,2858384,11575369464
DEU,3,435,8232,33294892
DEU,3,2261524,30131,122504692
DEU,3,107804,1112,4496039
ARM,3,50,0,2028
ARM,3,100,10,39807
ARM,3,70,7,27865
ARM,3,60,6,23884
ARM,3,12,15,59710
ARM,3,400,68,270306
ARM,3,8640,2678,10813210
ARM,3,400,74,301731
ARM,3,1800,331,1349633
ARM,3,560,1838,7474548
ARM,3,60,138,561079
ARM,3,970,155,617206
ARM,3,38505,5842,23233693
ARM,3,400,4,15907
ARM,3,2900,437,1773004
ARM,3,3950,580,2351240
ARM,3,200,64,258380
ARM,3,800,144,572413
ARM,3,1050,160,649347
ARM,3,2100,325,1319999
ARM,3,76,2,6171
ABW,3,1,76,303299
ABW,3,4,182,723466
